MD	TVD	TWT
0	34.1	0
445.64	479.74	0.473
476.42	510.52	0.504
513.65	547.75	0.543
513.65	547.75	0.543
513.65	547.75	0.543
535.56	569.66	0.565
577.29	611.39	0.61
630.85	664.95	0.662
663.01	697.11	0.692
821.98	856.08	0.84
873.78	907.88	0.886
912.4	946.5	0.921
990.29	1024.39	0.991
1037.02	1071.12	1.032
1077.03	1111.13	1.067
1166.83	1200.93	1.15
1211.9	1246	1.195
1324.9	1359	1.304
1750.9	1785	1.74
1823.9	1858	1.773
1935.9	1970	1.873
2340.9	2375	2.234
2701.9	2736	2.556
2771.9	2806	2.618
2850.9	2885	2.689
2888.9	2923	2.722
2945.9	2980	2.773
2242.9	2277	2.147
2260.9	2295	2.163
2282.9	2317	2.182
2295.9	2330	2.194
2327.9	2362	2.222
3057.9	3092	2.873
3076.9	3111	2.89
3095.9	3130	2.907
