Well,Marker,MD
F02-01,Seasurface,30
F02-01,MFS11,553.6
F02-01,FS11,612.9
F02-01,MFS10,683.31
F02-01,MFS9,716.65
F02-01,MFS8,748.49
F02-01,FS8,795.18
F02-01,FS7,927.28
F02-01,Truncation 1,1025.42
F02-01,Lower Low Sonic,1048.84
F02-01,FS6,1057.89
F02-01,MFS4,1068.74
F02-01,FS4,1094.12
F02-01,FS 3,1134.73
F02-01,FS2,1174.62
F02-01,MFS 2,1197.08
F02-01,FS1,1252.26
F02-01,NMRF (Mid_Mio_Unc),1285.09
F02-01,CKGR,1695
F02-01,SGKI,1872
F02-01,SLCU,2636
F02-01,SLCMU,2735
F02-01,SLCMS,2997.5
F02-01,SLCML,3028
F02-01,SLCL,3150
